ID_Venta,Fecha,Producto,Categoria,Precio,Cantidad,ID_Cliente,Region
120,2023-05-12,Coche a Control Remoto,juguetes,50.0,1,212,Centro
121,2023-05-13,Legos,juguetes,80.0,1,213,Oeste
122,2023-05-14,Rompecabezas,juguetes,20.0,1,214,Este
123,2023-05-15,Juego de Mesa,juguetes,40.0,1,215,Norte
125,2023-05-17,Baraja de Cartas,juguetes,5.0,1,217,Centro
126,2023-05-18,Libro de Programacion,libros,35.0,1,218,Oeste
127,,Novela de Ciencia Ficcion,libros,20.0,1,219,Este
128,2023-05-20,Libro de Cocina,libros,25.0,1,220,Norte
129,2023-05-21,Suscripcion a Revista,suscripciones,50.0,1,221,Sur
130,2023-05-22,Licencia de Software,software,100.0,1,222,Centro
131,2023-05-23,Antivirus,software,40.0,1,223,Oeste
132,2023-05-24,VPN,software,60.0,1,224,Este
133,,Curso en Linea,educacion,50.0,1,225,Norte
134,2023-05-26,Webinar,educacion,20.0,1,226,Sur
135,2023-05-27,Certificacion,educacion,200.0,1,227,Centro
136,2023-05-28,Consulta Tecnica,servicios,80.0,1,228,Oeste
137,2023-05-29,Reparacion de PC,servicios,120.0,1,229,Este
138,2023-05-30,Instalacion de Software,servicios,50.0,1,230,Norte
139,2023-05-31,Garantia Extendida,servicios,70.0,1,231,Sur
140,2023-06-01,Tarjeta de Regalo,regalos,50.0,1,232,desconocida
141,,Taza Personalizada,regalos,15.0,1,233,Oeste
142,2023-06-03,Playera con Logo,ropa,25.0,2,234,Este
143,2023-06-04,Sudadera,ropa,45.0,1,235,Norte
144,2023-06-05,Gorra,ropa,20.0,1,236,Sur
145,2023-06-06,Llavero,accesorios,8.0,3,237,Centro
147,2023-06-08,Cinturon,ropa,30.0,1,239,Este
148,,Calcetines,ropa,10.0,5,240,Norte
149,2023-06-10,Smartband,vestibles,40.0,1,241,Sur
150,2023-06-11,Anillo Inteligente,vestibles,150.0,1,242,Centro
151,2023-06-12,Auriculares Deportivos,audio,70.0,1,243,Oeste
152,2023-06-13,Reproductores MP3,audio,30.0,1,244,Este
153,2023-06-14,Radio Portatil,audio,25.0,1,245,Norte
154,2023-06-15,Procesador Intel i9,componentes,600.0,1,246,Sur
155,,Memoria RAM 32GB,componentes,100.0,2,247,Centro
156,2023-03-21,Mouse Ergonómico,accesorios,45.0,1,160,Norte
157,2023-06-17,SSD 2TB,componentes,180.0,1,248,Oeste
158,2023-06-18,Tarjeta Grafica RTX 4080,componentes,1200.0,1,249,Este
159,2023-06-19,Fuente de Poder 1000W,componentes,180.0,1,250,Norte
160,2023-06-20,Gabinete Full Tower,componentes,150.0,1,251,Sur
161,2023-06-21,Tarjeta Madre Z690,componentes,250.0,1,252,desconocida
162,2023-06-22,Sistema de Enfriamiento Liquido,componentes,130.0,1,253,Oeste
163,,"Monitor 34"" Ultrawide",monitores,700.0,1,254,Este
164,2023-06-24,Silla Ergonomica,muebles,250.0,1,255,Norte
165,2023-06-25,Escritorio Ajustable,muebles,400.0,1,256,Sur
166,2023-06-26,Lampara de Pie,hogar,50.0,1,257,Centro
167,2023-06-27,Cesto de Basura,oficina,15.0,1,258,Oeste
169,2023-06-29,Cable HDMI 8K,video,25.0,2,260,Norte
170,2023-06-30,Switch de Red,redes,30.0,1,261,Sur
171,2023-07-01,NAS (Servidor de Almacenamiento),almacenamiento,300.0,1,262,Centro
172,,Pendrive 128GB,almacenamiento,20.0,1,263,Oeste
173,2023-07-03,Tarjeta MicroSD 256GB,almacenamiento,30.0,1,264,Este
174,2023-07-04,Cargador para Auto,accesorios,18.0,1,265,Norte
175,2023-07-05,Soporte para Celular,accesorios,12.0,1,266,Sur
176,2023-07-06,Lentes para Luz Azul,cuidado personal,25.0,1,267,Centro
177,2023-07-07,Banda de Ejercicio,deportes,15.0,1,268,Oeste
178,,Tapete de Yoga,deportes,30.0,1,269,Este
179,2023-07-09,Mancuernas,deportes,50.0,2,270,Norte
180,2023-07-10,Cuerda para Saltar,deportes,10.0,1,271,Sur
181,2023-07-11,Guantes de Gimnasio,deportes,20.0,1,272,desconocida
182,2023-07-12,Reloj Deportivo,vestibles,180.0,1,273,Oeste
183,2023-07-13,Oximetro,salud,30.0,1,274,Este
184,,Termometro Digital,salud,15.0,1,275,Norte
185,2023-07-15,Tensiometro,salud,40.0,1,276,Sur
187,2023-07-17,Kit de Primeros Auxilios,salud,25.0,1,278,Oeste
188,2023-07-18,Botella de Agua Inteligente,hogar,35.0,1,279,Este
189,2023-07-19,Lonchera Termica,hogar,20.0,1,280,Norte
190,2023-07-20,Juego de Cuchillos,cocina,60.0,1,281,Sur
191,2023-07-21,Sarten Antiadherente,cocina,25.0,1,282,Centro
192,,Tabla para Picar,cocina,15.0,1,283,Oeste
193,2023-07-23,Bateria de Cocina,cocina,150.0,1,284,Este
194,2023-07-24,Tostadora,cocina,30.0,1,285,Norte
195,2023-07-25,Batidora,cocina,70.0,1,286,Sur
196,2023-07-26,Extractor de Jugos,cocina,90.0,1,287,Centro
197,2023-07-27,Freidora de Aire,cocina,100.0,1,288,Oeste
198,2023-07-28,Arrocera,cocina,40.0,1,289,desconocida
199,2023-07-29,Vajilla,cocina,80.0,1,290,Norte
200,,Cuberteria,cocina,50.0,1,291,Sur
201,2023-07-31,Herramientas para Jardin,jardineria,60.0,1,292,Centro
202,2023-08-01,Manguera,jardineria,30.0,1,293,Oeste
203,2023-08-02,Podadora,jardineria,180.0,1,294,Este
204,2023-08-03,Guantes de Jardineria,jardineria,15.0,1,295,Norte
205,2023-08-04,Maceta,jardineria,10.0,5,296,Sur
207,,Tierra para Plantas,jardineria,8.0,2,298,Oeste
208,2023-08-07,Fertilizante,jardineria,12.0,1,299,Este
209,2023-08-08,Taladro Inalambrico,herramientas,90.0,1,300,Norte
210,2023-08-09,Caja de Herramientas,herramientas,50.0,1,301,Sur
211,2023-08-10,Juego de Desarmadores,herramientas,25.0,1,302,Centro
212,2023-08-11,Flexometro,herramientas,10.0,1,303,Oeste
213,2023-08-12,Multimetro Digital,herramientas,20.0,1,304,Este
214,2023-08-13,Pistola de Silicon,herramientas,15.0,1,305,Norte
215,,Gafas de Seguridad,seguridad,8.0,1,306,Sur
216,2023-08-15,Chaleco de Seguridad,seguridad,12.0,1,307,Centro
217,2023-08-16,Casco de Seguridad,seguridad,20.0,1,308,Oeste
218,2023-08-17,Extintor,seguridad,40.0,1,309,Este
219,2023-08-18,Botas de Seguridad,seguridad,70.0,1,310,desconocida
220,2023-08-19,Alarma de Humo,seguridad,18.0,2,311,Sur
221,2023-08-20,Bicicleta de Montana,deportes,350.0,1,312,Centro
222,2023-08-21,Casco de Ciclismo,deportes,40.0,1,313,Oeste
223,,Luces para Bicicleta,deportes,15.0,1,314,Este
224,2023-08-23,Bomba de Aire,deportes,12.0,1,315,Norte
226,2023-08-25,Camara de Accion,video,200.0,1,317,Centro
227,2023-08-26,Estabilizador para Celular,video,90.0,1,318,Oeste
228,2023-08-27,Tripie para Camara,video,30.0,1,319,Este
229,2023-08-28,Kit de Iluminacion,video,120.0,1,320,Norte
230,,Maleta de Viaje,viajes,80.0,1,321,Sur
231,2023-08-30,Adaptador de Corriente Universal,viajes,20.0,1,322,Centro
232,2023-08-31,Almohada de Viaje,viajes,15.0,1,323,Oeste
233,2023-09-01,Bolsa de Dormir,campismo,60.0,1,324,Este
234,2023-09-02,Casa de Campana,campismo,120.0,1,325,Norte
235,2023-09-03,Lampara de Campismo,campismo,25.0,1,326,Sur
236,2023-09-04,Navaja Multiusos,campismo,30.0,1,327,Centro
237,,Asador Portatil,campismo,70.0,1,328,Oeste
238,2023-09-06,Hielera,campismo,40.0,1,329,Este
239,2023-09-07,Cana de Pescar,pesca,50.0,1,330,desconocida
240,2023-09-08,Carrete de Pesca,pesca,40.0,1,331,Sur
241,2023-09-09,Caja para Aparejos,pesca,20.0,1,332,Centro
243,2023-09-11,Balon de Futbol,deportes,20.0,1,334,Este
244,2023-09-12,Balon de Baloncesto,deportes,25.0,1,335,Norte
245,2023-09-13,Guitarra Acustica,musica,150.0,1,336,Sur
246,,Teclado Musical,musica,200.0,1,337,Centro
247,2023-09-15,Ukelele,musica,50.0,1,338,Oeste
248,2023-09-16,Microfono USB,musica,70.0,1,339,Este
249,2023-09-17,Interfaz de Audio,musica,100.0,1,340,Norte
250,2023-09-18,Controlador MIDI,musica,120.0,1,341,Sur
251,2023-09-19,Software de Produccion Musical,software,300.0,1,342,Centro
252,2023-09-20,Audifonos de Estudio,audio,150.0,1,343,Oeste
253,2023-09-21,Monitores de Estudio,audio,250.0,2,344,Este
254,,Cable para Instrumento,musica,15.0,1,345,Norte
255,2023-09-23,Afinador de Guitarra,musica,10.0,1,346,Sur
256,2023-09-24,Plumillas para Guitarra,musica,5.0,10,347,Centro
258,2023-09-26,Correa para Guitarra,musica,20.0,1,349,Este
259,2023-09-27,Pedal de Efectos,musica,80.0,1,350,Norte
260,2023-09-28,Bateria Electronica,musica,400.0,1,351,Sur
261,2023-09-29,Libro de Partituras,libros,15.0,1,352,Centro
262,,Atril para Partituras,musica,25.0,1,353,Oeste
263,2023-10-01,Funda para Guitarra,musica,30.0,1,354,Este
264,2023-10-02,Kit de Pintura,arte,40.0,1,355,desconocida
265,2023-10-03,Set de Pinceles,arte,20.0,1,356,Sur
266,2023-10-04,Lienzo,arte,15.0,3,357,Centro
267,2023-10-05,Cuaderno de Dibujo,arte,10.0,1,358,Oeste
268,2023-10-06,Lapices de Colores,arte,25.0,1,359,Este
269,,Acuarelas,arte,30.0,1,360,Norte
270,2023-10-08,Caballete,arte,50.0,1,361,Sur
272,2023-10-10,Plastilina,arte,8.0,1,363,Oeste
273,2023-10-11,Maquina de Coser,hogar,150.0,1,364,Este
274,2023-10-12,Kit de Costura,hogar,15.0,1,365,Norte
275,,Kit de Bordado,hogar,20.0,1,366,Sur
276,2023-06-18,Tarjeta Grafica RTX 4080,componentes,1200.0,1,249,Este
277,2023-10-14,Binoculares,exterior,70.0,1,367,Centro
278,2023-10-15,GPS Portatil,exterior,120.0,1,368,Oeste
279,2023-10-16,Walkie Talkies,exterior,50.0,2,369,Este
280,2023-10-17,Panel Solar para Mochila,energia,40.0,1,370,Norte
281,2023-10-18,Filtro de Agua Portatil,campismo,25.0,1,371,Sur
282,2023-10-19,Pelota de Tenis,deportes,5.0,12,372,Centro
283,,Raqueta de Tenis,deportes,80.0,1,373,Oeste
284,2023-10-21,Patines en Linea,deportes,90.0,1,374,Este
285,2023-10-22,Patineta,deportes,60.0,1,375,Norte
286,2023-10-23,Balon de Voleibol,deportes,20.0,1,376,Sur
287,2023-10-24,Red de Voleibol,deportes,30.0,1,377,Centro
288,2023-10-25,Canasta de Baloncesto,deportes,150.0,1,378,Oeste
289,,Porteria de Futbol,deportes,80.0,1,379,desconocida
290,2023-10-26,Guantes de Portero,deportes,25.0,1,380,Norte
292,2023-10-28,Gafas de Natacion,natacion,15.0,1,382,Centro
293,2023-10-29,Gorro de Natacion,natacion,8.0,1,383,Oeste
294,2023-10-30,Traje de Bano,natacion,40.0,1,384,Este
295,2023-10-31,Toalla de Microfibra,natacion,20.0,1,385,Norte
296,2023-11-01,Sandalias,ropa,25.0,1,386,Sur
297,,Cangurera,accesorios,18.0,1,387,Centro
298,2023-11-03,Sombrero,ropa,20.0,1,388,Oeste
299,2023-11-04,Lentes de Sol,accesorios,30.0,1,389,Este
300,2023-11-05,Crema Solar,cuidado personal,15.0,1,390,Norte
301,2023-11-06,Repelente de Insectos,cuidado personal,10.0,1,391,Sur
302,2023-11-07,Gel Antibacterial,cuidado personal,5.0,3,392,Centro
303,2023-11-08,Paraguas,accesorios,20.0,1,393,Oeste
304,,Impermeable,ropa,40.0,1,394,Este
305,2023-11-10,Bufanda,ropa,15.0,1,395,Norte
306,2023-11-11,Guantes Termicos,ropa,20.0,1,396,Sur
307,2023-11-12,Gorro de Lana,ropa,12.0,1,397,Centro
308,2023-11-13,Termo para Cafe,hogar,25.0,1,398,Oeste
309,2023-11-14,Taza de Viaje,hogar,18.0,1,399,Este
310,,Contenedor de Alimentos,hogar,15.0,1,400,desconocida
311,2023-11-16,Hervidor Electrico,cocina,30.0,1,401,Sur
313,2023-11-18,Olla de Presion,cocina,80.0,1,403,Oeste
314,2023-11-19,Olla de Lento Cocimiento,cocina,50.0,1,404,Este
315,2023-11-20,Vaporera,cocina,40.0,1,405,Norte
316,2023-11-21,Sandwichera,cocina,25.0,1,406,Sur
317,2023-11-22,Waflera,cocina,30.0,1,407,Centro
318,,Balanza de Cocina,cocina,20.0,1,408,Oeste
319,2023-11-24,Agenda 2024,oficina,15.0,1,409,Este
320,2023-11-25,Plumas de Colores,oficina,10.0,1,410,Norte
321,2023-11-26,Marcatextos,oficina,8.0,1,411,Sur
322,2023-11-27,Clips,oficina,3.0,1,412,Centro
323,2023-11-28,Grapadora,oficina,12.0,1,413,Oeste
324,2023-11-29,Post-its,oficina,5.0,1,414,Este
325,,Cinta Adhesiva,oficina,4.0,1,415,Norte
326,2023-12-01,Calculadora Cientifica,oficina,25.0,1,416,Sur
328,2023-12-03,Lampara de Lava,decoracion,30.0,1,418,Oeste
329,2023-12-04,Poster Decorativo,decoracion,15.0,1,419,Este
330,2023-12-05,Vela Aromatica,decoracion,12.0,2,420,Norte
331,2023-12-06,Marco de Fotos Digital,decoracion,70.0,1,421,desconocida
332,,Planta Artificial,decoracion,20.0,1,422,Centro
333,2023-12-08,Cojin Decorativo,decoracion,18.0,2,423,Oeste
334,2023-12-09,Espejo de Pared,decoracion,40.0,1,424,Este
335,2023-12-10,Reloj de Pared,decoracion,25.0,1,425,Norte
336,2023-12-11,Alfombra,decoracion,90.0,1,426,Sur
337,2023-12-12,Cortinas,decoracion,50.0,1,427,Centro
338,2023-12-13,Candelabro,decoracion,30.0,1,428,Oeste
339,2023-12-14,Florero,decoracion,15.0,1,429,Este
340,,Figura de Coleccion,juguetes,25.0,1,430,Norte
341,2023-12-16,Peluche,juguetes,20.0,1,431,Sur
343,2023-12-18,Disfraz,ropa,40.0,1,433,Oeste
344,2023-12-19,Masajeador,cuidado personal,60.0,1,434,Este
345,2023-12-20,Humidificador,cuidado personal,35.0,1,435,Norte
346,2023-12-21,Almohadilla Termica,cuidado personal,25.0,1,436,Sur
347,2023-12-22,Sales de Bano,cuidado personal,15.0,1,437,Centro
348,2023-12-23,Aceites Esenciales,cuidado personal,12.0,1,438,Oeste
349,,Difusor de Aromas,cuidado personal,30.0,1,439,Este
350,2023-12-25,Juego de Te,cocina,40.0,1,440,Norte
351,2023-12-26,Molinillo de Cafe,cocina,25.0,1,441,Sur
352,2023-12-27,Prensa Francesa,cocina,30.0,1,442,Centro
353,2023-12-28,Juego de Copas,cocina,50.0,1,443,Oeste
354,2023-12-29,Decantador de Vino,cocina,35.0,1,444,desconocida
355,2023-12-30,Sacacorchos Electrico,cocina,20.0,1,445,Norte
356,2023-12-31,Kit para Cocteles,cocina,45.0,1,446,Sur
357,2024-01-01,Mapa del Mundo para Rascar,regalos,25.0,1,447,Centro
358,,Globo Terraqueo,decoracion,40.0,1,448,Oeste
359,2024-01-02,Cubo Rubik,juguetes,10.0,1,449,Este
360,2024-01-03,Ajedrez,juguetes,30.0,1,450,Norte
361,2024-01-04,Domino,juguetes,15.0,1,451,Sur
363,2024-01-06,Yo-yo,juguetes,5.0,2,453,Oeste
364,2024-01-07,Cometa,juguetes,12.0,1,454,Este
365,2024-01-08,Frisbee,juguetes,10.0,1,455,Norte
366,2024-01-09,Caja Fuerte Pequena,seguridad,50.0,1,456,Sur
367,2024-01-10,Alarma para Puerta,seguridad,15.0,2,457,Centro
368,,Mirilla Digital,seguridad,70.0,1,458,Oeste
369,2024-01-12,Cerradura Inteligente,seguridad,150.0,1,459,Este
370,2024-01-13,Timbre con Video,seguridad,100.0,1,460,Norte
371,2024-01-14,Bocina Portatil,audio,40.0,1,461,Sur
372,2024-01-15,Sistema de Sonido Envolvente,audio,400.0,1,462,Centro
373,2024-01-16,Barra de Sonido,audio,150.0,1,463,Oeste
374,2024-01-17,Subwoofer,audio,120.0,1,464,Este
375,2024-01-18,Amplificador de Audio,audio,200.0,1,465,Norte
376,2024-01-19,Tornamesa,audio,180.0,1,466,Sur
377,2024-01-20,Coleccion de Vinilos,musica,30.0,1,467,desconocida
378,2024-01-21,Cargador Portatil de Alta Capacidad,energia,60.0,1,468,Oeste
379,,Estacion de Carga Multiple,energia,35.0,1,469,Este
381,2024-01-24,Inversor de Corriente para Auto,energia,40.0,1,471,Sur
382,2024-01-25,Termometro de Carne,cocina,15.0,1,472,Centro
383,2024-01-26,Abrelatas Electrico,cocina,20.0,1,473,Oeste
384,2024-01-27,Triturador de Basura,cocina,150.0,1,474,Este
385,2024-01-28,Dispensador de Agua,hogar,120.0,1,475,Norte
386,2024-01-29,Calentador de Agua Electrico,hogar,100.0,1,476,Sur
387,,Aire Acondicionado Portatil,hogar,350.0,1,477,Centro
388,2024-01-31,Deshumidificador,hogar,90.0,1,478,Oeste
389,2024-02-01,Enfriador de Vinos,cocina,200.0,1,479,Este
390,2024-02-02,Fabrica de Hielo,cocina,120.0,1,480,Norte
391,2024-02-03,GoPro,video,400.0,1,481,Sur
392,2024-02-04,Estuche para Camara,video,30.0,1,482,Centro
393,2024-02-05,Correa para Camara,video,15.0,1,483,Oeste
394,,Filtro para Lente,video,20.0,1,484,Este
395,2024-02-06,Reflector para Fotografia,video,25.0,1,485,Norte
397,2024-02-08,Fondo para Fotografia,video,40.0,1,487,Centro
398,2024-02-09,Mesa de Luz para Dibujo,diseno,60.0,1,488,Oeste
399,2024-02-10,Cortadora de Papel,oficina,25.0,1,489,desconocida
400,2024-02-11,Enmicadora,oficina,40.0,1,490,Norte
401,,Etiquetadora,oficina,30.0,1,491,Sur
402,2024-02-12,Cojin Lumbar,muebles,20.0,1,492,Centro
403,2024-02-13,Reposapies,muebles,25.0,1,493,Oeste
404,2024-02-14,Pluma Fuente,oficina,35.0,1,494,Este
405,2024-02-15,Tinta para Pluma Fuente,oficina,10.0,1,495,Norte
406,2024-02-16,Sello Personalizado,oficina,20.0,1,496,Sur
407,2024-02-17,Papel Fotografico,impresion,15.0,1,497,Centro
408,2024-02-18,Cartucho de Tinta,impresion,30.0,2,498,Oeste
409,2024-02-19,Toner para Impresora,impresion,80.0,1,499,Este
410,,Papel para Impresora (Resma),impresion,10.0,1,500,Norte
411,2024-02-20,Bolsa para Mensajero,accesorios,60.0,1,501,Sur
412,2024-02-21,Portafolio,accesorios,70.0,1,502,Centro
413,2024-02-22,Cartera,accesorios,30.0,1,503,Oeste
415,2024-02-24,Organizador de Escritorio,oficina,20.0,1,505,Norte
416,2024-02-25,Perforadora,oficina,8.0,1,506,Sur
417,2024-02-26,Tijeras,oficina,5.0,1,507,Centro
418,2024-02-27,Cutter,oficina,4.0,1,508,Oeste
419,2024-02-28,Pegamento en Barra,oficina,2.0,3,509,Este
420,,Carpeta,oficina,3.0,5,510,Norte
421,2024-03-01,Sobre,oficina,0.5,20,511,desconocida
422,2024-03-02,Agenda Electronica,electronica,50.0,1,512,Centro
423,2024-03-03,Traductor Electronico,electronica,80.0,1,513,Oeste
424,2024-03-04,Grabadora de Voz Digital,electronica,40.0,1,514,Este
425,2024-03-05,Puntero Laser,presentacion,15.0,1,515,Norte
426,2024-03-06,Control Remoto para Presentaciones,presentacion,25.0,1,516,Sur
427,,Pizarra Interactiva,presentacion,800.0,1,517,Centro
428,2024-03-07,Proyector Portatil,presentacion,250.0,1,518,Oeste
429,2024-03-08,Pantalla para Proyector,presentacion,100.0,1,519,Este
430,2024-03-09,Megafono,audio,30.0,1,520,Norte
431,2024-03-10,Sistema de Karaoke,audio,120.0,1,521,Sur
432,2024-03-11,Bola de Discoteca,fiesta,20.0,1,522,Centro
433,2024-03-12,Maquina de Humo,fiesta,50.0,1,523,Oeste
434,2024-03-13,Luces Estroboscopicas,fiesta,25.0,1,524,Este
436,2024-03-15,Dispensador de Bebidas,fiesta,30.0,1,526,Sur
